Query,Attributes,Chart Type,Description,Created By,Created Date,Combined
show sales trend over the year,"date, sales",line,"This chart shows show sales trend over the year with attributes date, sales",User_5,2023-12-15,"show sales trend over the year date, sales"
distribution of income levels,income,pie,This chart shows distribution of income levels with attributes income,User_40,2023-08-06,distribution of income levels income
expenses in different categories,"category, expenses",bar,"This chart shows expenses in different categories with attributes category, expenses",User_34,2023-12-19,"expenses in different categories category, expenses"
user activity over time,"date, activity level",line,"This chart shows user activity over time with attributes date, activity level",User_9,2023-04-03,"user activity over time date, activity level"
growth rate over months,"date, growth rate",line,"This chart shows growth rate over months with attributes date, growth rate",User_37,2023-07-18,"growth rate over months date, growth rate"
user activity over time,"date, activity level",line,"This chart shows user activity over time with attributes date, activity level",User_23,2023-02-04,"user activity over time date, activity level"
customer satisfaction levels,satisfaction level,bar,This chart shows customer satisfaction levels with attributes satisfaction level,User_8,2023-12-20,customer satisfaction levels satisfaction level
temperature trends over the year,"month, temperature",line,"This chart shows temperature trends over the year with attributes month, temperature",User_12,2023-07-04,"temperature trends over the year month, temperature"
monthly revenue growth,"date, revenue",line,"This chart shows monthly revenue growth with attributes date, revenue",User_64,2023-06-19,"monthly revenue growth date, revenue"
temperature trends over the year,"month, temperature",line,"This chart shows temperature trends over the year with attributes month, temperature",User_87,2023-04-12,"temperature trends over the year month, temperature"
show sales trend over the year,"date, sales",line,"This chart shows show sales trend over the year with attributes date, sales",User_2,2023-08-16,"show sales trend over the year date, sales"
sales performance by salespeople,"salesperson, sales",bar,"This chart shows sales performance by salespeople with attributes salesperson, sales",User_25,2023-01-12,"sales performance by salespeople salesperson, sales"
distribution of age groups,age,pie,This chart shows distribution of age groups with attributes age,User_69,2023-01-20,distribution of age groups age
show sales trend over the year,"date, sales",line,"This chart shows show sales trend over the year with attributes date, sales",User_47,2023-08-13,"show sales trend over the year date, sales"
age distribution among customers,age,pie,This chart shows age distribution among customers with attributes age,User_96,2023-10-06,age distribution among customers age
monthly expense breakdown,"month, expenses",bar,"This chart shows monthly expense breakdown with attributes month, expenses",User_34,2023-09-04,"monthly expense breakdown month, expenses"
temperature trends over the year,"month, temperature",line,"This chart shows temperature trends over the year with attributes month, temperature",User_87,2023-05-21,"temperature trends over the year month, temperature"
user activity over time,"date, activity level",line,"This chart shows user activity over time with attributes date, activity level",User_69,2023-03-24,"user activity over time date, activity level"
